日期,时间,纬度,纬度方向,经度,经度方向,地面速率,航向,海拔
2017年05月10日,01时33分43秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分44秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分45秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分46秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分47秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分48秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分49秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分50秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分51秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分52秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分53秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分54秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分55秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分56秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分57秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分58秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分59秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分00秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分01秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分02秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分03秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分04秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分05秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分06秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分07秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分08秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分09秒,40'47.622,北纬,111'41.734,东经,000.6,338.0,1058ft
2017年05月10日,01时34分10秒,40'47.622,北纬,111'41.734,东经,000.8,338.0,1058ft
2017年05月10日,01时34分11秒,40'47.623,北纬,111'41.734,东经,001.0,338.0,1058ft
2017年05月10日,01时34分12秒,40'47.623,北纬,111'41.734,东经,001.3,338.0,1058ft
2017年05月10日,01时34分13秒,40'47.623,北纬,111'41.734,东经,001.7,338.0,1058ft
2017年05月10日,01时34分14秒,40'47.624,北纬,111'41.734,东经,002.3,338.0,1058ft
2017年05月10日,01时34分15秒,40'47.624,北纬,111'41.733,东经,003.1,339.1,1058ft
2017年05月10日,01时34分16秒,40'47.626,北纬,111'41.733,东经,001.5,340.7,1058ft
2017年05月10日,01时34分17秒,40'47.626,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分18秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分19秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分20秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分21秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分22秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分23秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分24秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分25秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分26秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分27秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分28秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分29秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分30秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分31秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分32秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分33秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分34秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分35秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分36秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分37秒,40'47.627,北纬,111'41.733,东经,000.4,340.7,1058ft
2017年05月10日,01时34分38秒,40'47.627,北纬,111'41.733,东经,000.4,340.7,1058ft
2017年05月10日,01时34分39秒,40'47.627,北纬,111'41.733,东经,000.4,340.7,1058ft
2017年05月10日,01时34分40秒,40'47.627,北纬,111'41.733,东经,000.6,337.5,1058ft
2017年05月10日,01时34分41秒,40'47.627,北纬,111'41.733,东经,000.6,349.7,1057ft
2017年05月10日,01时34分42秒,40'47.627,北纬,111'41.733,东经,000.9,348.5,1057ft
2017年05月10日,01时34分43秒,40'47.627,北纬,111'41.733,东经,000.9,347.2,1057ft
2017年05月10日,01时34分44秒,40'47.628,北纬,111'41.732,东经,001.1,348.9,1058ft
2017年05月10日,01时34分45秒,40'47.628,北纬,111'41.732,东经,001.5,340.0,1057ft
2017年05月10日,01时34分46秒,40'47.628,北纬,111'41.732,东经,001.9,341.0,1057ft
2017年05月10日,01时34分47秒,40'47.629,北纬,111'41.731,东经,002.5,341.4,1057ft
2017年05月10日,01时34分48秒,40'47.630,北纬,111'41.731,东经,004.1,339.1,1057ft
2017年05月10日,01时34分49秒,40'47.631,北纬,111'41.729,东经,005.1,337.8,1057ft
2017年05月10日,01时34分50秒,40'47.633,北纬,111'41.729,东经,007.0,337.0,1057ft
2017年05月10日,01时34分51秒,40'47.635,北纬,111'41.727,东经,007.4,336.4,1058ft
2017年05月10日,01时34分52秒,40'47.637,北纬,111'41.726,东经,008.8,335.9,1058ft
2017年05月10日,01时34分53秒,40'47.640,北纬,111'41.724,东经,009.7,335.1,1058ft
2017年05月10日,01时34分54秒,40'47.642,北纬,111'41.722,东经,009.1,334.8,1058ft
2017年05月10日,01时34分55秒,40'47.645,北纬,111'41.721,东经,008.4,335.7,1058ft
2017年05月10日,01时34分56秒,40'47.647,北纬,111'41.720,东经,009.3,337.2,1058ft
2017年05月10日,01时34分57秒,40'47.649,北纬,111'41.719,东经,008.8,338.4,1058ft
2017年05月10日,01时34分58秒,40'47.651,北纬,111'41.718,东经,008.5,340.7,1058ft
2017年05月10日,01时34分59秒,40'47.654,北纬,111'41.717,东经,010.0,343.2,1058ft
2017年05月10日,01时35分00秒,40'47.657,北纬,111'41.716,东经,011.9,345.1,1058ft
2017年05月10日,01时35分01秒,40'47.660,北纬,111'41.715,东经,012.3,345.6,1057ft
2017年05月10日,01时35分02秒,40'47.664,北纬,111'41.714,东经,012.0,346.5,1057ft
2017年05月10日,01时35分03秒,40'47.667,北纬,111'41.713,东经,012.9,345.5,1057ft
2017年05月10日,01时35分04秒,40'47.670,北纬,111'41.711,东经,012.3,343.8,1058ft
2017年05月10日,01时35分05秒,40'47.674,北纬,111'41.709,东经,012.4,342.7,1057ft
2017年05月10日,01时35分06秒,40'47.677,北纬,111'41.708,东经,012.1,342.1,1057ft
2017年05月10日,01时35分07秒,40'47.680,北纬,111'41.707,东经,011.8,341.1,1057ft
2017年05月10日,01时35分08秒,40'47.683,北纬,111'41.705,东经,011.3,340.8,1057ft
2017年05月10日,01时35分09秒,40'47.686,北纬,111'41.704,东经,009.5,341.0,1057ft
2017年05月10日,01时35分10秒,40'47.688,北纬,111'41.704,东经,008.9,340.9,1058ft
2017年05月10日,01时35分11秒,40'47.690,北纬,111'41.703,东经,009.0,341.5,1058ft
2017年05月10日,01时35分12秒,40'47.693,北纬,111'41.702,东经,009.4,342.1,1057ft
2017年05月10日,01时35分13秒,40'47.695,北纬,111'41.701,东经,008.3,343.1,1057ft
2017年05月10日,01时35分14秒,40'47.697,北纬,111'41.701,东经,006.0,342.0,1057ft
2017年05月10日,01时35分15秒,40'47.699,北纬,111'41.700,东经,005.3,341.7,1057ft
2017年05月10日,01时35分16秒,40'47.700,北纬,111'41.700,东经,004.9,343.9,1056ft
2017年05月10日,01时35分17秒,40'47.701,北纬,111'41.699,东经,002.4,343.9,1056ft
2017年05月10日,01时35分18秒,40'47.702,北纬,111'41.700,东经,002.0,343.9,1056ft
2017年05月10日,01时35分19秒,40'47.702,北纬,111'41.700,东经,002.3,343.9,1057ft
2017年05月10日,01时35分20秒,40'47.703,北纬,111'41.701,东经,003.1,333.9,1057ft
2017年05月10日,01时35分21秒,40'47.704,北纬,111'41.700,东经,005.7,334.5,1057ft
2017年05月10日,01时35分22秒,40'47.706,北纬,111'41.700,东经,009.4,335.5,1057ft
2017年05月10日,01时35分23秒,40'47.710,北纬,111'41.699,东经,013.1,336.1,1057ft
2017年05月10日,01时35分24秒,40'47.713,北纬,111'41.698,东经,013.1,336.7,1057ft
2017年05月10日,01时35分25秒,40'47.716,北纬,111'41.697,东经,009.2,339.7,1057ft
2017年05月10日,01时35分26秒,40'47.718,北纬,111'41.696,东经,004.5,347.2,1057ft
2017年05月10日,01时35分27秒,40'47.719,北纬,111'41.696,东经,000.0,347.2,1057ft
2017年05月10日,01时35分28秒,40'47.719,北纬,111'41.696,东经,000.0,347.2,1057ft
2017年05月10日,01时35分29秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分30秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分31秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分32秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分33秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分34秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分35秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分36秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分37秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分38秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分39秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分40秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分41秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分42秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分43秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分44秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分45秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分46秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分47秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分48秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分49秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分50秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分51秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分52秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分53秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分54秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分55秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分56秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分57秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分58秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时35分59秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分00秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分01秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分02秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分03秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分04秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分05秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分06秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分07秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分08秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分09秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分10秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分11秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分12秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分13秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分14秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分15秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分16秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分17秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分18秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分19秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分20秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分21秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分22秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分23秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分24秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分25秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分26秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分27秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分28秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分29秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分30秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分31秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分32秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分33秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分34秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分35秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分36秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分37秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分38秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分39秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分40秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分41秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分42秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分43秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分44秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分45秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分46秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分47秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分48秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分49秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分50秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分51秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分52秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分53秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分54秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分55秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分56秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分57秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分58秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时36分59秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时37分00秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时37分01秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时37分02秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时37分03秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时37分04秒,40'47.719,北纬,111'41.695,东经,000.0,347.2,1057ft
2017年05月10日,01时37分05秒,40'47.722,北纬,111'41.691,东经,003.5,343.1,1053ft
2017年05月10日,01时37分06秒,40'47.724,北纬,111'41.690,东经,007.8,342.6,1053ft
2017年05月10日,01时37分07秒,40'47.726,北纬,111'41.688,东经,011.0,339.3,1054ft
2017年05月10日,01时37分08秒,40'47.730,北纬,111'41.687,东经,013.0,340.1,1054ft
2017年05月10日,01时37分09秒,40'47.733,北纬,111'41.685,东经,014.8,339.4,1054ft
2017年05月10日,01时37分10秒,40'47.737,北纬,111'41.682,东经,015.9,338.5,1054ft
2017年05月10日,01时37分11秒,40'47.742,北纬,111'41.680,东经,016.0,337.7,1054ft
2017年05月10日,01时37分12秒,40'47.746,北纬,111'41.678,东经,016.2,338.3,1054ft
2017年05月10日,01时37分13秒,40'47.750,北纬,111'41.676,东经,017.8,338.1,1055ft
2017年05月10日,01时37分14秒,40'47.755,北纬,111'41.673,东经,018.1,338.6,1055ft
