日期,时间,纬度,纬度方向,经度,经度方向,地面速率,航向,海拔
2017年05月10日,01时37分27秒,40'47.827,北纬,111'41.644,东经,012.5,346.7,1060ft
2017年05月10日,01时37分28秒,40'47.830,北纬,111'41.642,东经,010.5,345.8,1060ft
2017年05月10日,01时37分29秒,40'47.832,北纬,111'41.641,东经,008.3,344.2,1060ft
2017年05月10日,01时37分30秒,40'47.834,北纬,111'41.640,东经,006.9,342.0,1060ft
2017年05月10日,01时37分31秒,40'47.836,北纬,111'41.639,东经,006.6,339.9,1061ft
2017年05月10日,01时37分32秒,40'47.838,北纬,111'41.638,东经,008.6,337.9,1061ft
2017年05月10日,01时37分33秒,40'47.840,北纬,111'41.637,东经,011.8,337.2,1061ft
2017年05月10日,01时37分34秒,40'47.844,北纬,111'41.635,东经,014.5,337.4,1061ft
2017年05月10日,01时37分35秒,40'47.848,北纬,111'41.633,东经,015.4,338.2,1061ft
2017年05月10日,01时37分36秒,40'47.853,北纬,111'41.630,东经,017.5,339.2,1061ft
2017年05月10日,01时37分37秒,40'47.857,北纬,111'41.628,东经,018.4,339.8,1061ft
2017年05月10日,01时37分38秒,40'47.862,北纬,111'41.626,东经,018.4,340.5,1061ft
2017年05月10日,01时37分39秒,40'47.867,北纬,111'41.623,东经,019.0,341.4,1061ft
2017年05月10日,01时37分40秒,40'47.873,北纬,111'41.621,东经,018.7,342.5,1062ft
2017年05月10日,01时37分41秒,40'47.878,北纬,111'41.619,东经,018.7,343.4,1062ft
2017年05月10日,01时37分42秒,40'47.883,北纬,111'41.617,东经,019.3,343.7,1062ft
2017年05月10日,01时37分43秒,40'47.889,北纬,111'41.615,东经,019.8,343.1,1062ft
2017年05月10日,01时37分44秒,40'47.894,北纬,111'41.612,东经,019.5,341.8,1062ft
2017年05月10日,01时37分45秒,40'47.899,北纬,111'41.610,东经,019.0,340.4,1062ft
2017年05月10日,01时37分46秒,40'47.904,北纬,111'41.607,东经,018.7,339.8,1062ft
2017年05月10日,01时37分47秒,40'47.909,北纬,111'41.605,东经,019.0,339.3,1062ft
2017年05月10日,01时37分48秒,40'47.914,北纬,111'41.603,东经,017.5,339.9,1062ft
2017年05月10日,01时37分49秒,40'47.919,北纬,111'41.601,东经,016.6,340.6,1062ft
2017年05月10日,01时37分50秒,40'47.923,北纬,111'41.599,东经,015.5,340.9,1063ft
2017年05月10日,01时37分51秒,40'47.927,北纬,111'41.597,东经,014.4,340.9,1063ft
2017年05月10日,01时37分52秒,40'47.930,北纬,111'41.594,东经,013.3,340.4,1064ft
2017年05月10日,01时37分53秒,40'47.934,北纬,111'41.593,东经,012.3,339.6,1064ft
2017年05月10日,01时37分54秒,40'47.937,北纬,111'41.591,东经,011.1,339.0,1064ft
2017年05月10日,01时37分55秒,40'47.939,北纬,111'41.590,东经,009.8,338.7,1064ft
2017年05月10日,01时37分56秒,40'47.942,北纬,111'41.589,东经,009.5,338.4,1063ft
2017年05月10日,01时37分57秒,40'47.945,北纬,111'41.587,东经,010.2,344.7,1063ft
2017年05月10日,01时37分58秒,40'47.947,北纬,111'41.587,东经,010.0,344.9,1063ft
2017年05月10日,01时37分59秒,40'47.950,北纬,111'41.586,东经,008.6,347.4,1063ft
2017年05月10日,01时38分00秒,40'47.952,北纬,111'41.586,东经,007.9,354.1,1062ft
2017年05月10日,01时38分01秒,40'47.955,北纬,111'41.585,东经,008.6,353.3,1062ft
2017年05月10日,01时38分02秒,40'47.957,北纬,111'41.584,东经,009.3,352.4,1062ft
2017年05月10日,01时38分03秒,40'47.959,北纬,111'41.583,东经,008.0,351.4,1062ft
2017年05月10日,01时38分04秒,40'47.961,北纬,111'41.582,东经,006.9,350.5,1062ft
2017年05月10日,01时38分05秒,40'47.963,北纬,111'41.582,东经,004.5,349.3,1062ft
2017年05月10日,01时38分06秒,40'47.964,北纬,111'41.581,东经,003.2,345.4,1062ft
2017年05月10日,01时38分07秒,40'47.964,北纬,111'41.582,东经,002.2,345.4,1063ft
2017年05月10日,01时38分08秒,40'47.965,北纬,111'41.581,东经,000.1,345.4,1063ft
2017年05月10日,01时38分09秒,40'47.965,北纬,111'41.581,东经,000.0,345.4,1063ft
2017年05月10日,01时38分10秒,40'47.966,北纬,111'41.580,东经,000.0,345.4,1064ft
2017年05月10日,01时38分11秒,40'47.966,北纬,111'41.580,东经,000.0,345.4,1064ft
2017年05月10日,01时38分12秒,40'47.966,北纬,111'41.580,东经,000.0,345.4,1064ft
2017年05月10日,01时38分13秒,40'47.966,北纬,111'41.580,东经,000.0,345.4,1064ft
2017年05月10日,01时38分14秒,40'47.966,北纬,111'41.580,东经,000.0,345.4,1064ft
2017年05月10日,01时38分15秒,40'47.966,北纬,111'41.580,东经,000.0,345.4,1064ft
2017年05月10日,01时38分16秒,40'47.966,北纬,111'41.580,东经,000.0,345.4,1064ft
2017年05月10日,01时38分17秒,40'47.966,北纬,111'41.580,东经,000.0,345.4,1064ft
2017年05月10日,01时38分18秒,40'47.966,北纬,111'41.580,东经,000.0,345.4,1064ft
2017年05月10日,01时38分19秒,40'47.967,北纬,111'41.580,东经,001.6,345.4,1064ft
2017年05月10日,01时38分20秒,40'47.967,北纬,111'41.579,东经,002.5,345.4,1064ft
2017年05月10日,01时38分21秒,40'47.969,北纬,111'41.579,东经,002.9,337.4,1064ft
2017年05月10日,01时38分22秒,40'47.970,北纬,111'41.579,东经,002.2,340.6,1064ft
2017年05月10日,01时38分23秒,40'47.970,北纬,111'41.578,东经,000.8,341.4,1064ft
2017年05月10日,01时38分24秒,40'47.970,北纬,111'41.578,东经,000.0,341.4,1064ft
2017年05月10日,01时38分25秒,40'47.971,北纬,111'41.578,东经,000.0,341.4,1064ft
2017年05月10日,01时38分26秒,40'47.971,北纬,111'41.578,东经,000.0,341.4,1064ft
2017年05月10日,01时38分27秒,40'47.971,北纬,111'41.578,东经,000.0,341.4,1064ft
2017年05月10日,01时38分28秒,40'47.971,北纬,111'41.578,东经,000.0,341.4,1064ft
2017年05月10日,01时38分29秒,40'47.971,北纬,111'41.578,东经,000.0,341.4,1064ft
2017年05月10日,01时38分30秒,40'47.971,北纬,111'41.578,东经,000.0,341.4,1064ft
2017年05月10日,01时38分31秒,40'47.971,北纬,111'41.578,东经,000.0,341.4,1064ft
2017年05月10日,01时38分32秒,40'47.971,北纬,111'41.578,东经,000.0,341.4,1064ft
2017年05月10日,01时38分33秒,40'47.971,北纬,111'41.578,东经,000.0,341.4,1064ft
2017年05月10日,01时38分34秒,40'47.971,北纬,111'41.578,东经,000.0,341.4,1064ft
2017年05月10日,01时38分35秒,40'47.971,北纬,111'41.578,东经,000.0,341.4,1064ft
2017年05月10日,01时38分36秒,40'47.971,北纬,111'41.578,东经,000.0,341.4,1064ft
2017年05月10日,01时38分37秒,40'47.972,北纬,111'41.578,东经,001.2,335.6,1064ft
2017年05月10日,01时38分38秒,40'47.972,北纬,111'41.578,东经,001.6,338.4,1064ft
2017年05月10日,01时38分39秒,40'47.973,北纬,111'41.578,东经,001.4,345.1,1064ft
2017年05月10日,01时38分40秒,40'47.973,北纬,111'41.577,东经,001.5,344.4,1064ft
2017年05月10日,01时38分41秒,40'47.974,北纬,111'41.577,东经,001.7,343.8,1064ft
2017年05月10日,01时38分42秒,40'47.974,北纬,111'41.577,东经,001.5,346.0,1064ft
2017年05月10日,01时38分43秒,40'47.975,北纬,111'41.577,东经,001.0,348.3,1064ft
2017年05月10日,01时38分44秒,40'47.975,北纬,111'41.577,东经,000.7,356.5,1064ft
2017年05月10日,01时38分45秒,40'47.975,北纬,111'41.577,东经,000.4,356.5,1064ft
2017年05月10日,01时38分46秒,40'47.975,北纬,111'41.577,东经,000.4,356.5,1063ft
2017年05月10日,01时38分47秒,40'47.975,北纬,111'41.577,东经,000.5,351.0,1063ft
2017年05月10日,01时38分48秒,40'47.976,北纬,111'41.577,东经,000.7,338.0,1063ft
2017年05月10日,01时38分49秒,40'47.976,北纬,111'41.577,东经,001.0,334.6,1063ft
2017年05月10日,01时38分50秒,40'47.976,北纬,111'41.577,东经,000.6,351.2,1063ft
2017年05月10日,01时38分51秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时38分52秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时38分53秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时38分54秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时38分55秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时38分56秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时38分57秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时38分58秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时38分59秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时39分00秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时39分01秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时39分02秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时39分03秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时39分04秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时39分05秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时39分06秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时39分07秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时39分08秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时39分09秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时39分10秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时39分11秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时39分12秒,40'47.976,北纬,111'41.577,东经,000.0,351.2,1063ft
2017年05月10日,01时39分13秒,40'47.977,北纬,111'41.576,东经,002.5,323.8,1063ft
2017年05月10日,01时39分14秒,40'47.978,北纬,111'41.575,东经,006.0,324.5,1063ft
2017年05月10日,01时39分15秒,40'47.981,北纬,111'41.574,东经,008.0,325.9,1063ft
2017年05月10日,01时39分16秒,40'47.983,北纬,111'41.573,东经,009.2,326.8,1063ft
2017年05月10日,01时39分17秒,40'47.986,北纬,111'41.572,东经,011.8,328.2,1063ft
2017年05月10日,01时39分18秒,40'47.990,北纬,111'41.570,东经,012.3,329.7,1063ft
2017年05月10日,01时39分19秒,40'47.993,北纬,111'41.569,东经,011.1,331.0,1063ft
2017年05月10日,01时39分20秒,40'47.996,北纬,111'41.567,东经,010.6,332.2,1063ft
2017年05月10日,01时39分21秒,40'47.998,北纬,111'41.566,东经,008.9,333.4,1063ft
2017年05月10日,01时39分22秒,40'48.000,北纬,111'41.565,东经,006.9,334.3,1064ft
2017年05月10日,01时39分23秒,40'48.002,北纬,111'41.564,东经,007.8,335.2,1064ft
2017年05月10日,01时39分24秒,40'48.005,北纬,111'41.562,东经,009.1,336.0,1065ft
2017年05月10日,01时39分25秒,40'48.007,北纬,111'41.560,东经,009.9,336.9,1066ft
2017年05月10日,01时39分26秒,40'48.010,北纬,111'41.559,东经,010.3,337.6,1066ft
2017年05月10日,01时39分27秒,40'48.013,北纬,111'41.557,东经,012.2,339.7,1067ft
2017年05月10日,01时39分28秒,40'48.016,北纬,111'41.555,东经,013.7,340.9,1067ft
2017年05月10日,01时39分29秒,40'48.020,北纬,111'41.554,东经,014.5,341.7,1068ft
2017年05月10日,01时39分30秒,40'48.024,北纬,111'41.552,东经,014.6,342.2,1069ft
2017年05月10日,01时39分31秒,40'48.028,北纬,111'41.550,东经,014.1,342.3,1069ft
2017年05月10日,01时39分31秒,40'48.028,北纬,111'41.550,东经,014.1,342.3,1069ft
2017年05月10日,01时39分32秒,40'48.031,北纬,111'41.549,东经,012.4,341.9,1069ft
2017年05月10日,01时39分33秒,40'48.034,北纬,111'41.547,东经,009.5,341.9,1069ft
2017年05月10日,01时39分34秒,40'48.037,北纬,111'41.546,东经,007.8,341.7,1069ft
2017年05月10日,01时39分35秒,40'48.039,北纬,111'41.545,东经,008.7,342.2,1068ft
2017年05月10日,01时39分36秒,40'48.042,北纬,111'41.544,东经,010.5,342.2,1069ft
2017年05月10日,01时39分37秒,40'48.045,北纬,111'41.543,东经,010.9,341.7,1069ft
2017年05月10日,01时39分38秒,40'48.047,北纬,111'41.541,东经,011.2,340.9,1068ft
2017年05月10日,01时39分39秒,40'48.051,北纬,111'41.540,东经,012.1,339.6,1068ft
2017年05月10日,01时39分40秒,40'48.054,北纬,111'41.538,东经,014.5,338.2,1067ft
2017年05月10日,01时39分41秒,40'48.058,北纬,111'41.535,东经,016.8,337.5,1067ft
2017年05月10日,01时39分42秒,40'48.063,北纬,111'41.533,东经,017.4,338.0,1067ft
2017年05月10日,01时39分44秒,40'48.072,北纬,111'41.529,东经,015.4,339.2,1067ft
2017年05月10日,01时39分45秒,40'48.076,北纬,111'41.527,东经,016.1,341.1,1067ft
2017年05月10日,01时39分46秒,40'48.081,北纬,111'41.526,东经,017.1,343.0,1068ft
2017年05月10日,01时39分46秒,40'48.081,北纬,111'41.526,东经,017.1,343.0,1068ft
2017年05月10日,01时39分48秒,40'48.092,北纬,111'41.523,东经,019.9,345.9,1068ft
2017年05月10日,01时39分48秒,40'48.092,北纬,111'41.523,东经,019.9,345.9,1069ft
2017年05月10日,01时39分50秒,40'48.103,北纬,111'41.519,东经,020.2,346.0,1069ft
2017年05月10日,01时39分50秒,40'48.103,北纬,111'41.519,东经,020.2,346.0,1070ft
2017年05月10日,01时39分51秒,40'48.108,北纬,111'41.516,东经,020.4,345.7,1070ft
2017年05月10日,01时39分52秒,40'48.113,北纬,111'41.513,东经,021.3,345.4,1070ft
2017年05月10日,01时39分53秒,40'48.119,北纬,111'41.510,东经,021.4,344.6,1070ft
2017年05月10日,01时39分55秒,40'48.131,北纬,111'41.505,东经,021.7,342.0,1070ft
2017年05月10日,01时39分55秒,40'48.131,北纬,111'41.505,东经,021.7,342.0,1069ft
2017年05月10日,01时39分56秒,40'48.137,北纬,111'41.502,东经,022.6,341.1,1069ft
2017年05月10日,01时39分57秒,40'48.142,北纬,111'41.499,东经,021.6,340.5,1070ft
2017年05月10日,01时39分58秒,40'48.148,北纬,111'41.496,东经,020.0,340.5,1070ft
2017年05月10日,01时39分59秒,40'48.153,北纬,111'41.494,东经,019.0,341.6,1070ft
2017年05月10日,01时40分00秒,40'48.158,北纬,111'41.492,东经,018.7,343.0,1070ft
2017年05月10日,01时40分02秒,40'48.168,北纬,111'41.488,东经,018.6,343.7,1070ft
2017年05月10日,01时40分02秒,40'48.168,北纬,111'41.488,东经,018.6,343.7,1069ft
2017年05月10日,01时40分04秒,40'48.178,北纬,111'41.483,东经,018.9,341.3,1069ft
2017年05月10日,01时40分04秒,40'48.178,北纬,111'41.483,东经,018.9,341.3,1070ft
2017年05月10日,01时40分05秒,40'48.183,北纬,111'41.481,东经,018.9,340.1,1069ft
2017年05月10日,01时40分06秒,40'48.189,北纬,111'41.478,东经,018.3,340.0,1069ft
2017年05月10日,01时40分07秒,40'48.193,北纬,111'41.476,东经,018.3,340.2,1069ft
2017年05月10日,01时40分08秒,40'48.198,北纬,111'41.473,东经,017.9,340.5,1069ft
2017年05月10日,01时40分09秒,40'48.203,北纬,111'41.471,东经,017.9,341.2,1070ft
2017年05月10日,01时40分10秒,40'48.207,北纬,111'41.469,东经,017.7,341.3,1070ft
2017年05月10日,01时40分11秒,40'48.212,北纬,111'41.466,东经,017.4,341.1,1070ft
2017年05月10日,01时40分12秒,40'48.216,北纬,111'41.464,东经,016.8,341.3,1070ft
2017年05月10日,01时40分13秒,40'48.221,北纬,111'41.462,东经,016.8,342.1,1070ft
2017年05月10日,01时40分14秒,40'48.225,北纬,111'41.460,东经,017.2,342.3,1070ft
2017年05月10日,01时40分16秒,40'48.235,北纬,111'41.455,东经,019.9,340.2,1071ft
2017年05月10日,01时40分16秒,40'48.235,北纬,111'41.455,东经,019.9,340.2,1070ft
2017年05月10日,01时40分17秒,40'48.240,北纬,111'41.452,东经,020.1,339.4,1071ft
2017年05月10日,01时40分19秒,40'48.250,北纬,111'41.447,东经,018.3,339.5,1071ft
2017年05月10日,01时40分19秒,40'48.250,北纬,111'41.447,东经,018.3,339.5,1071ft
2017年05月10日,01时40分20秒,40'48.255,北纬,111'41.445,东经,016.4,340.6,1071ft
2017年05月10日,01时40分22秒,40'48.262,北纬,111'41.441,东经,013.2,340.4,1071ft
2017年05月10日,01时40分22秒,40'48.262,北纬,111'41.441,东经,013.2,340.4,1071ft
2017年05月10日,01时40分23秒,40'48.265,北纬,111'41.439,东经,011.1,339.8,1071ft
2017年05月10日,01时40分24秒,40'48.268,北纬,111'41.438,东经,009.0,339.6,1071ft
2017年05月10日,01时40分25秒,40'48.270,北纬,111'41.438,东经,005.6,340.3,1071ft
2017年05月10日,01时40分26秒,40'48.272,北纬,111'41.438,东经,002.9,340.6,1070ft
2017年05月10日,01时40分28秒,40'48.273,北纬,111'41.438,东经,000.1,340.9,1070ft
2017年05月10日,01时40分29秒,40'48.273,北纬,111'41.438,东经,000.1,340.9,1070ft
2017年05月10日,01时40分29秒,40'48.273,北纬,111'41.438,东经,000.1,340.9,1070ft
2017年05月10日,01时40分30秒,40'48.273,北纬,111'41.438,东经,000.0,340.9,1070ft
2017年05月10日,01时40分31秒,40'48.273,北纬,111'41.437,东经,000.0,340.9,1070ft
2017年05月10日,01时40分32秒,40'48.273,北纬,111'41.437,东经,000.0,340.9,1070ft
2017年05月10日,01时40分34秒,40'48.273,北纬,111'41.437,东经,000.0,340.9,1070ft
2017年05月10日,01时40分34秒,40'48.273,北纬,111'41.437,东经,000.0,340.9,1070ft
2017年05月10日,01时40分35秒,40'48.273,北纬,111'41.437,东经,000.0,340.9,1070ft
2017年05月10日,01时40分36秒,40'48.273,北纬,111'41.437,东经,000.0,340.9,1070ft
2017年05月10日,01时40分37秒,40'48.273,北纬,111'41.436,东经,000.0,340.9,1070ft
2017年05月10日,01时40分38秒,40'48.273,北纬,111'41.436,东经,000.0,340.9,1070ft
2017年05月10日,01时40分39秒,40'48.273,北纬,111'41.436,东经,000.0,340.9,1070ft
2017年05月10日,01时40分40秒,40'48.273,北纬,111'41.436,东经,000.0,340.9,1070ft
2017年05月10日,01时40分41秒,40'48.273,北纬,111'41.436,东经,002.6,340.9,1070ft
2017年05月10日,01时40分42秒,40'48.273,北纬,111'41.435,东经,003.8,239.1,1070ft
2017年05月10日,01时40分43秒,40'48.272,北纬,111'41.434,东经,004.6,203.6,1069ft
2017年05月10日,01时40分44秒,40'48.270,北纬,111'41.433,东经,005.5,178.3,1069ft
2017年05月10日,01时40分45秒,40'48.268,北纬,111'41.434,东经,008.5,156.6,1068ft
2017年05月10日,01时40分46秒,40'48.266,北纬,111'41.436,东经,009.6,153.1,1068ft
2017年05月10日,01时40分47秒,40'48.263,北纬,111'41.437,东经,010.5,155.3,1067ft
2017年05月10日,01时40分48秒,40'48.260,北纬,111'41.439,东经,011.4,156.6,1066ft
2017年05月10日,01时40分49秒,40'48.257,北纬,111'41.440,东经,012.1,158.3,1065ft
2017年05月10日,01时40分50秒,40'48.254,北纬,111'41.442,东经,013.0,160.0,1065ft
2017年05月10日,01时40分51秒,40'48.250,北纬,111'41.444,东经,013.4,160.3,1064ft
2017年05月10日,01时40分52秒,40'48.247,北纬,111'41.445,东经,013.7,161.5,1064ft
2017年05月10日,01时40分53秒,40'48.243,北纬,111'41.447,东经,014.0,162.6,1063ft
2017年05月10日,01时40分54秒,40'48.240,北纬,111'41.448,东经,014.2,163.2,1062ft
2017年05月10日,01时40分55秒,40'48.236,北纬,111'41.450,东经,014.2,163.4,1062ft
2017年05月10日,01时40分56秒,40'48.232,北纬,111'41.451,东经,013.4,163.6,1061ft
2017年05月10日,01时40分57秒,40'48.229,北纬,111'41.452,东经,012.4,164.2,1060ft
2017年05月10日,01时40分58秒,40'48.226,北纬,111'41.453,东经,011.3,164.5,1060ft
2017年05月10日,01时40分59秒,40'48.223,北纬,111'41.454,东经,008.8,165.1,1059ft
2017年05月10日,01时41分00秒,40'48.220,北纬,111'41.454,东经,006.4,166.8,1058ft
2017年05月10日,01时41分01秒,40'48.219,北纬,111'41.454,东经,004.5,175.7,1058ft
2017年05月10日,01时41分02秒,40'48.218,北纬,111'41.454,东经,003.6,186.3,1058ft
2017年05月10日,01时41分03秒,40'48.217,北纬,111'41.454,东经,003.1,201.9,1057ft
2017年05月10日,01时41分04秒,40'48.216,北纬,111'41.453,东经,003.4,220.2,1057ft
2017年05月10日,01时41分05秒,40'48.215,北纬,111'41.452,东经,003.0,219.9,1056ft
2017年05月10日,01时41分06秒,40'48.214,北纬,111'41.451,东经,003.5,221.4,1056ft
2017年05月10日,01时41分07秒,40'48.214,北纬,111'41.450,东经,004.1,224.2,1055ft
2017年05月10日,01时41分08秒,40'48.213,北纬,111'41.449,东经,004.4,226.4,1055ft
2017年05月10日,01时41分09秒,40'48.213,北纬,111'41.447,东经,004.6,228.9,1055ft
2017年05月10日,01时41分10秒,40'48.212,北纬,111'41.445,东经,004.3,256.4,1054ft
2017年05月10日,01时41分11秒,40'48.212,北纬,111'41.444,东经,004.2,255.0,1054ft
2017年05月10日,01时41分12秒,40'48.211,北纬,111'41.442,东经,003.0,254.4,1054ft
2017年05月10日,01时41分13秒,40'48.211,北纬,111'41.442,东经,000.1,254.4,1053ft
2017年05月10日,01时41分15秒,40'48.211,北纬,111'41.441,东经,000.0,254.4,1054ft
2017年05月10日,01时41分15秒,40'48.211,北纬,111'41.441,东经,000.0,254.4,1054ft
2017年05月10日,01时41分16秒,40'48.211,北纬,111'41.441,东经,000.0,254.3,1054ft
2017年05月10日,01时41分17秒,40'48.211,北纬,111'41.441,东经,000.0,254.4,1054ft
2017年05月10日,01时41分18秒,40'48.211,北纬,111'41.441,东经,000.0,254.4,1054ft
2017年05月10日,01时41分19秒,40'48.211,北纬,111'41.441,东经,000.1,254.4,1054ft
2017年05月10日,01时41分20秒,40'48.210,北纬,111'41.440,东经,000.3,254.4,1054ft
2017年05月10日,01时41分21秒,40'48.211,北纬,111'41.438,东经,008.0,281.9,1054ft
2017年05月10日,01时41分23秒,40'48.212,北纬,111'41.430,东经,010.6,281.8,1053ft
2017年05月10日,01时41分24秒,40'48.212,北纬,111'41.425,东经,010.3,271.1,1053ft
2017年05月10日,01时41分24秒,40'48.212,北纬,111'41.425,东经,010.3,271.1,1053ft
2017年05月10日,01时41分25秒,40'48.212,北纬,111'41.421,东经,010.3,256.0,1053ft
2017年05月10日,01时41分26秒,40'48.211,北纬,111'41.417,东经,009.7,243.6,1053ft
2017年05月10日,01时41分27秒,40'48.210,北纬,111'41.414,东经,008.9,232.4,1052ft
2017年05月10日,01时41分28秒,40'48.208,北纬,111'41.412,东经,007.5,222.3,1052ft
2017年05月10日,01时41分29秒,40'48.207,北纬,111'41.410,东经,006.7,210.5,1052ft
2017年05月10日,01时41分30秒,40'48.205,北纬,111'41.409,东经,006.3,196.5,1053ft
2017年05月10日,01时41分31秒,40'48.203,北纬,111'41.408,东经,005.6,176.7,1053ft
2017年05月10日,01时41分32秒,40'48.201,北纬,111'41.409,东经,006.2,170.5,1052ft
2017年05月10日,01时41分33秒,40'48.199,北纬,111'41.409,东经,007.8,168.3,1052ft
2017年05月10日,01时41分34秒,40'48.197,北纬,111'41.410,东经,009.1,168.0,1052ft
2017年05月10日,01时41分35秒,40'48.195,北纬,111'41.411,东经,010.5,167.2,1051ft
2017年05月10日,01时41分36秒,40'48.192,北纬,111'41.412,东经,010.8,164.9,1051ft
2017年05月10日,01时41分37秒,40'48.189,北纬,111'41.413,东经,010.6,162.1,1051ft
2017年05月10日,01时41分38秒,40'48.186,北纬,111'41.414,东经,010.5,163.2,1051ft
2017年05月10日,01时41分40秒,40'48.180,北纬,111'41.417,东经,011.8,161.8,1051ft
2017年05月10日,01时41分40秒,40'48.180,北纬,111'41.417,东经,011.8,161.8,1050ft
2017年05月10日,01时41分41秒,40'48.177,北纬,111'41.418,东经,012.0,160.1,1050ft
2017年05月10日,01时41分42秒,40'48.173,北纬,111'41.420,东经,012.6,158.8,1049ft
2017年05月10日,01时41分44秒,40'48.166,北纬,111'41.423,东经,013.1,158.5,1049ft
2017年05月10日,01时41分44秒,40'48.166,北纬,111'41.423,东经,013.1,158.5,1049ft
2017年05月10日,01时41分45秒,40'48.163,北纬,111'41.425,东经,013.1,158.6,1048ft
2017年05月10日,01时41分47秒,40'48.156,北纬,111'41.427,东经,012.3,166.9,1048ft
2017年05月10日,01时41分48秒,40'48.152,北纬,111'41.429,东经,013.2,163.4,1047ft
2017年05月10日,01时41分48秒,40'48.152,北纬,111'41.429,东经,013.2,163.4,1047ft
2017年05月10日,01时41分49秒,40'48.149,北纬,111'41.430,东经,013.4,162.8,1046ft
2017年05月10日,01时41分50秒,40'48.145,北纬,111'41.432,东经,013.4,162.1,1046ft
2017年05月10日,01时41分51秒,40'48.142,北纬,111'41.433,东经,014.2,160.9,1046ft
2017年05月10日,01时41分52秒,40'48.138,北纬,111'41.435,东经,014.5,160.1,1046ft
2017年05月10日,01时41分53秒,40'48.134,北纬,111'41.437,东经,013.5,160.2,1045ft
2017年05月10日,01时41分54秒,40'48.130,北纬,111'41.438,东经,013.0,167.0,1045ft
2017年05月10日,01时41分55秒,40'48.126,北纬,111'41.440,东经,012.1,166.2,1045ft
2017年05月10日,01时41分56秒,40'48.123,北纬,111'41.442,东经,012.4,164.3,1045ft
2017年05月10日,01时41分57秒,40'48.120,北纬,111'41.443,东经,012.2,164.9,1044ft
2017年05月10日,01时41分58秒,40'48.117,北纬,111'41.444,东经,011.4,163.9,1044ft
2017年05月10日,01时41分59秒,40'48.114,北纬,111'41.446,东经,011.4,162.8,1044ft
2017年05月10日,01时42分00秒,40'48.111,北纬,111'41.447,东经,011.4,162.7,1043ft
2017年05月10日,01时42分01秒,40'48.108,北纬,111'41.448,东经,011.4,162.0,1043ft
2017年05月10日,01时42分02秒,40'48.105,北纬,111'41.450,东经,011.8,161.3,1043ft
2017年05月10日,01时42分03秒,40'48.102,北纬,111'41.451,东经,011.8,160.7,1042ft
2017年05月10日,01时42分04秒,40'48.098,北纬,111'41.452,东经,011.3,161.0,1042ft
2017年05月10日,01时42分05秒,40'48.096,北纬,111'41.453,东经,010.2,171.4,1042ft
2017年05月10日,01时42分06秒,40'48.093,北纬,111'41.453,东经,009.4,187.2,1042ft
2017年05月10日,01时42分07秒,40'48.091,北纬,111'41.452,东经,009.0,199.6,1041ft
2017年05月10日,01时42分08秒,40'48.088,北纬,111'41.451,东经,008.6,215.7,1041ft
2017年05月10日,01时42分09秒,40'48.087,北纬,111'41.449,东经,007.8,229.1,1041ft
2017年05月10日,01时42分10秒,40'48.086,北纬,111'41.446,东经,008.9,243.3,1041ft
2017年05月10日,01时42分11秒,40'48.085,北纬,111'41.443,东经,009.5,245.2,1042ft
2017年05月10日,01时42分13秒,40'48.083,北纬,111'41.436,东经,008.2,253.7,1042ft
2017年05月10日,01时42分14秒,40'48.082,北纬,111'41.433,东经,008.1,252.7,1042ft
2017年05月10日,01时42分14秒,40'48.082,北纬,111'41.433,东经,008.1,252.7,1041ft
2017年05月10日,01时42分15秒,40'48.081,北纬,111'41.431,东经,007.7,252.0,1041ft
